Operación tradicional:
n: 1k
1.588135 ms.	1.550049 ms.	1.549805 ms.	1.585938 ms.	1.447998 ms.	1.576904 ms.	1.490967 ms.	1.458008 ms.	1.372070 ms.	1.258057 ms.	1.352783 ms.	1.342041 ms.	 
44.570068 ms.	44.337158 ms.	42.298096 ms.	5.707031 ms.	3.857178 ms.	5.172119 ms.	5.139893 ms.	5.709961 ms.	4.845947 ms.	3.076172 ms.	4.364990 ms.	4.945068 ms.	 
44.080811 ms.	45.660889 ms.	40.234131 ms.	3.264160 ms.	3.916992 ms.	3.693848 ms.	2.742920 ms.	3.732910 ms.	3.177002 ms.	1.992920 ms.	2.619141 ms.	2.852051 ms.	 
43.289062 ms.	45.022949 ms.	46.399902 ms.	5.906982 ms.	4.235107 ms.	5.284912 ms.	6.207031 ms.	5.895996 ms.	5.041992 ms.	3.542969 ms.	4.381836 ms.	4.986816 ms.	 
5.731934 ms.	4.249023 ms.	5.039062 ms.	4.872070 ms.	4.855957 ms.	4.807129 ms.	3.641846 ms.	4.695068 ms.	3.969971 ms.	2.359863 ms.	3.385010 ms.	3.798096 ms.	 
4.118896 ms.	3.948975 ms.	4.226074 ms.	4.843994 ms.	4.044922 ms.	3.299072 ms.	4.115967 ms.	5.017822 ms.	5.113037 ms.	2.358154 ms.	3.872070 ms.	3.247803 ms.	 
4.391113 ms.	3.063965 ms.	4.520020 ms.	4.542969 ms.	4.981201 ms.	4.969971 ms.	5.049072 ms.	4.226074 ms.	5.323975 ms.	2.447021 ms.	4.177002 ms.	3.668945 ms.	 
5.623047 ms.	3.144043 ms.	6.181152 ms.	4.868164 ms.	4.094971 ms.	5.265137 ms.	5.467041 ms.	5.447998 ms.	5.783936 ms.	2.967041 ms.	5.066162 ms.	5.002197 ms.	 
5.699951 ms.	3.766113 ms.	4.441895 ms.	3.131836 ms.	5.201904 ms.	4.954834 ms.	4.699951 ms.	6.343018 ms.	6.185059 ms.	2.909912 ms.	5.452148 ms.	4.603027 ms.	 
5.683105 ms.	2.832031 ms.	5.885010 ms.	4.671875 ms.	5.337891 ms.	5.324951 ms.	5.791992 ms.	6.151855 ms.	6.962891 ms.	3.561035 ms.	4.831055 ms.	4.944824 ms.	 
2.835938 ms.	2.477051 ms.	3.626953 ms.	2.407959 ms.	2.050049 ms.	1.781982 ms.	3.444824 ms.	2.927002 ms.	2.664062 ms.	3.237061 ms.	2.853027 ms.	2.145996 ms.	 
5.104980 ms.	3.033936 ms.	5.163818 ms.	4.038086 ms.	4.204102 ms.	4.150146 ms.	5.070068 ms.	4.683105 ms.	5.562988 ms.	2.468018 ms.	5.049072 ms.	4.124023 ms.	 
4.256836 ms.	2.314209 ms.	4.185059 ms.	3.267090 ms.	3.664062 ms.	3.493896 ms.	4.429932 ms.	5.287109 ms.	5.384033 ms.	2.805176 ms.	5.509033 ms.	4.589111 ms.	 
 
n: 100k
112.399170 ms.	57.205078 ms.	87.928955 ms.	14.157959 ms.	9.399170 ms.	46.119141 ms.	9.963135 ms.	10.368896 ms.	9.603027 ms.	5.766113 ms.	8.377930 ms.	9.186035 ms.	 
